,artist_mb,artist_lastfm,country_mb,tags_mb,tags_lastfm
491921,Gee Wunder,Gee Wunder,Canada,rap; canadian; hip hop; gee; wunder,Hip-Hop; hip hop; rap; Canadian; toronto; canadian hip hop; canadian underground hip-hop
492314,Pagail,Pagail,Canada,hip hop,All; hip-hop quebecois
492523,Strom Varx,Strom Varx,France,france; engineer; producer; composer; musician; graphic designer,glicht core
492622,Uroyan,Uroyan,United States,hip hop; urban; latin; reggaeton; puerto rico; r&b,dance; Reggaeton; puerto rico; Hip-Hop; electronic
492634,We Are Not Afraid,We Are Not Afraid,,techno; electronic music; live; trap; art techno; new noise; nu trap,trip-hop; Classical; techno; new noise; modern electro
493147,Guérilla,Guérilla,Canada,metal; hip hop,montreal; rapcore; quebec; frenchcore
493171,Henrik Hass,Henrik Hass,Denmark,rap; danish; hip hop; mc's fight night,Hip-Hop; hip hop; rap; danish; Bandcamp; danish rap; danish hiphop; bandcamp com; www bandcamp com; maidavalelover was here; trollerier
493366,Limoilou Starz,Limoilou Starz,Canada,hip hop,
493648,Réjane Magloire,Rejane Magloire,Democratic Republic of the Congo,classical; pop; hip hop; opera,Hip-Hop; soul; r&b
493708,Shit Lizard,Shit Lizard,France,rock; hard rock; doom; lo-fi; drone; garage; not stoner; repeat-o-rock; trap doom,
494322,Essensen,Essensen,Denmark,danish; hip hop,
494620,Lykez,Lykez,,hip-hop; uk; grime; rapper; mc,Grime
495527,Ellevan,Ellevan,Canada,hip hop,
495683,The IT_Boy,It_Boy,United Kingdom,abstract hip hop,Hip-Hop; electronic; experimental
496774,Fortes,Fortes,,hip hop,
497699,Ampee,Ampee,Canada,hip hop,
497850,Collapsing Lungs,Collapsing Lungs,United States,american; usa; rap metal; rap rock,rapcore; seen live; alternative; hardcore; crossover
498274,Les 2 Tom,Les 2 Tom,Canada,hip hop,
498573,Ryu,"Ryu of S.O.B., Juelz Santana & Celph Titled",United States,hip hop,
498908,#zweiraumsilke,#zweiraumsilke,Germany,jazz; funk; hiphop; soul,
499083,Charles Powne,Charles Powne,United States,american; usa; photographer; label owner,
500428,D-Mo,D-MO,Germany,hip hop,
500875,Lil’ Mo,Lil’ Mo,United States,hip hop rnb and dance hall,r and b
502229,Likwit Crew,Likwit Crew,United States,hip hop,Hip-Hop; rap; California; west coast; los angeles; likwit crew; chill906
502305,Mdusu,Mdusu,,hip hop,
503555,LouiV,Louiv,,rap; hip hop; rnb; drake,
505635,Ant Live,Ant Live,United States,hip hop,
505674,Bai-D,Bai-D,Denmark,rap; hip hop,
505691,Beeyoudee,Beeyoudee,Canada,hip hop,french rap; french hip-hop; canadian rap
506036,Ghetto Professionals,Ghetto Professionals,,hip hop,
506054,Gregory Thomas,Gregory Thomas,,#teamxmane #teamomg #x #oskya #jackn4beatz #j4b #omg #teamx #hiphop #rap #mixtape,
507644,Le Connaisseur,Le Connaisseur,Canada,hip hop,connaisseur
508382,Aaron Turner,Aaron Turner,United States,guitarist; american; vocalist; engineer; graphic designer; recording engineer; label owner,
508455,Autodramatics,Autodramatics,,iowa; cedar rapids,
508878,Haz Beats,Haz Beats,,hip hop,
510932,Shroom,Shroom,,hip hop,
511375,Bluehomie,Bluehomie,United Kingdom,pop; rap; actor; hip hop; uk; london; singer; greek; ballad; urban; ep; rapper; united kingdom; athens; mc; greece; lp; mature; blue; early; tottenham; bluehomie; blue homie; dance-club; dreamare; out of the blue; under the knife; homie,
511383,Born 2 B,Born 2 B,United Kingdom,rap; hip-hop; uk hip-hop; brit-hop; us3; nw1; ninja tune records; the band played the boogie; hustlerz inc recordings; hook or by crook music,
512202,PRFCT Storm,PRFCT Storm,United States,instrumental; hip hop; instrumental hip hop; glacial rap,
512254,Première Ligne,Première ligne,France,rap; france; paris,Hip-Hop; french; rap; anarchist; anarchist hip-hop
512260,Propa,Propa,,hip hop,
513105,Fou Furieux,Fou Furieux,Canada,hip hop,
513211,Hot Day,Hot Day,United States,hip hop,
513424,Mach & Jesse,Mach & Jesse,Netherlands,hiphop; nl,the netherlands; netherlands; nederhop
513433,Mally Mall,"Mally Mall Feat. Wiz Khalifa, Tyga & Fresh",United States,rap; hip hop,
513980,ill Imperial,ill Imperial,United States,alternative hip-hop; alternative; hip-hop; electronic; dance; beats; rap; music; band;,Hip-Hop; alternative; beats; west coast; ill Imperial
514884,Mistah Bohze,Mistah Bohze,United Kingdom,hip hop,Scottish; UK hip-hop; Scottish Hip-Hop; britcore; Glasgow City; II Tone Committee
514919,Natural Bond,Natural Bond,Sweden,hip hop,
515105,SF34,SF34,Canada,hip hop,
516519,S.Castro,S.Castro,,hip hop,
516761,Voodoo Trash,Voodoo Trash,United Kingdom,trance; dubstep; rap; house; hip-hop; electro; hiphop; rnb; r b; glitch; breakbeak,experimental; dubstep; electronic; hip hop; under 2000 listeners
517531,Kevlaar 7,Kevlaar 7 & Woodenchainz,United States,hip hop,
517698,Mocy,Mocy,Canada,hip hop,french rap; canadian rap
518445,Big Junior,Big Junior,France,rock; pop; electro; hip hop; hip wave,
518447,BIG V,Big V,United Kingdom,rap; hip-hop; uk; birmingham,
519071,King Dylan,King Dylan,Canada,rap; canadian; hip; hop; king; dylan,
519272,Musaliny-N-Maze,Musaliny-n-Maze,,hip hop,
519282,NMN,NMN,Mongolia,hip-hop; rapper; mongolia,
519349,Panch,Panch,United States,hip hop,
521023,Seif,SEIF,Canada,hip hop,
521275,Waqas Ali,Waqas Ali,,hip-hop; rapper,pakistani; urdu
521920,Hibou Blaster,HIBOU BLASTER,France,ambient; house; hip hop; dub; drone; beats; atmospheric; droneambient,bass; deep; electronic; techno
521957,Hostyle Gospel,Hostyle Gospel,,hostyle gospel; christian hip hop,Hostyle Gosepl; Crunk; under 2000 listeners; jesus; invented
522749,Plague Language,plague language,Canada,hip hop,
523480,Jeff Metal,Jeff Metal,United Kingdom,uk; photographer; designer,
523682,Manus Bell,Manus Bell,Denmark,rap; hip hop; producer; rapper,
523748,Mista J,Mista J,,hip hop,
